length,insertionSort,mergeSort,quickSort,heapSort
962000,682590,123,951,83777
963000,684730,148,936,81616
964000,684136,124,961,82617
965000,684623,192,998,85209
966000,687595,166,944,82037
967000,689170,181,965,82801
968000,689990,163,952,83805
969000,691329,123,996,83910
970000,693581,158,968,83946
971000,695686,126,949,84878
972000,695578,181,977,83816
973000,698159,173,941,84852
974000,700193,154,1008,84137
975000,699699,172,960,84627
976000,702346,124,967,87053
977000,704415,148,965,85342
978000,705388,184,999,85076
979000,708478,181,1012,86239
980000,709107,121,1210,85511
981000,707851,152,965,86427
982000,708594,134,972,85513
983000,710879,122,989,88650
984000,713230,178,971,86356
985000,714123,126,989,87279
986000,715467,188,984,87772
987000,717179,135,1029,89057
988000,722479,196,994,86327
989000,721352,125,996,88235
990000,736954,183,995,86835
991000,722768,126,997,87338
992000,723478,124,1026,87391
993000,736595,124,1045,88014
994000,743141,137,1008,88306
995000,735360,124,1006,88718
996000,747042,132,1024,88631
997000,750667,202,1046,88427
998000,733540,128,1029,88360
999000,733265,132,1066,90866
1000000,738151,141,1006,89224
